id,name,followers,popularity,genres
6u11Qbko2N2hP4lTBYjX86,Peter Bjorn and John,393828,61,alternative dance;baroque pop;dance-punk;indie rock;modern rock;new rave;swedish alternative rock;swedish indie pop
6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,4686555,70,new jersey rap;pop rap;rap;southern hip hop;trap
3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,2967036,72,memphis hip hop;rap;southern hip hop;tennessee hip hop;trap
4cmA2QDPdzh8W2ytpyUGes,Young Scooter,566774,51,atl trap;drill;southern hip hop;trap
31IZdHrCZ5pRhLz4zBxN3o,Riff Raff,185689,49,unknown
6i392l38cR3uBPF0DbNs7S,Quality Control,1386035,63,melodic rap;trap
1ZLO8d7zll1WeQJUHaxQer,HoodRich Pablo Juan,529424,49,atl hip hop;atl trap;detroit trap;trap
2wo3eLY26t8AMyYuYi1pZQ,TWRK,26648,35,electronic trap
6HD2mo0Gz8wd8IbOXYwUfN,Daniel Merriweather,38642,44,australian pop
4ovtyvs7j1jSmwhkBGHqSr,Olamide,2599054,70,afrobeats;afropop;azonto;nigerian hip hop;nigerian pop
0sc5zYshOdiFD4ayqMrJbJ,Jazz Cartier,116662,43,canadian hip hop;canadian trap;underground hip hop
7u6LfVyYpEzMpHLL7jTyvU,Dwele,297533,67,neo soul
33C3ByGk9NCrjTIXr6npqf,Lyfe Jennings,1181719,47,contemporary r&b;dirty south rap;hip pop;r&b;urban contemporary
0bxqbGrU4OdgDQNGs9DYp4,Lightshow,33059,21,dmv rap
6z1cicLMt9XArxN10q7m8a,Travis Porter,825299,56,atl hip hop;dirty south rap;futuristic swag;southern hip hop;trap
0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,3465126,67,conscious hip hop;gangster rap;hip hop;pop rap;rap;southern hip hop;trap
19KwjzvIL92r29IINtlPNP,Scarface,944467,55,conscious hip hop;dirty south rap;gangster rap;hardcore hip hop
2DctCFD8X80VeY7WLC86PS,Chinx,195329,42,queens hip hop
4O2YL4ygn6eTBC0w1hyWUM,Melanie Fiona,869681,48,canadian pop;contemporary r&b;hip pop;neo soul;r&b;urban contemporary
5q4eLKmqFVP0xII8087PHz,The Budos Band,208709,54,afrobeat;instrumental funk;instrumental soul
3YJMzGjAm245zwJooY7PEj,Chrisette Michele,594552,56,contemporary r&b;hip pop;neo soul;r&b;urban contemporary
5rDXcEIODl8TgGTgrntnjX,Rexx Life Raj,159799,48,cali rap;canadian hip hop
6xS5PpBWaVYraexEkEjjXv,Maxo Kream,458069,57,houston rap;melodic rap;trap;underground hip hop
3kf0gOpxWtkyeMNJVDQPtd,Smoke DZA,287420,46,alternative hip hop;harlem hip hop;underground hip hop
0pghUohLPptZWBasy2wmUx,THEY.,355670,52,trap soul
30DhU7BDmF4PH0JVhu8ZRg,Sabrina Claudio,1679057,62,alternative r&b;r&b
0QOP5VL6UOJIz4GlbWL3rk,DJ Taj,34070,35,jersey club
5Gqwy9rFNhFIlgk3rCUiN7,Dj Money,494,21,unknown
0t9dGS12PMZmiJiZa9vpyk,DJ Sliink,22627,41,bmore;electronic trap;jersey club;vogue
19UMxwstIVOpOc6ZAXq20i,Kodak To Graph,11944,17,vapor twitch
1SIw8nXWjvAKeb6Dhh85cz,Sam Dew,17413,50,unknown
5YI7PJwny5JsO7djczHwhP,Jarren Benton,197053,46,atl hip hop;deep underground hip hop;indie pop rap
6yqadcG6z5djW3lDuP7Abh,Lyrica Anderson,251804,33,pop r&b;trap queen
3wyVrVrFCkukjdVIdirGVY,Lil Pump,7650970,64,emo rap;miami hip hop;pop rap;rap;trap
5TM9R6dNoJSMq23yZQD6Ee,Don Q,137239,43,nyc rap
0CKa42Jqrc9fSFbDjePaXP,Big K.R.I.T.,948617,57,conscious hip hop;mississippi hip hop;southern hip hop;trap
